approvedSymbol	ID	targetId	maxPhaseChEMBL	geneticScore	UMAP 1	UMAP 2	UMAP 3	cluster
GSK3B	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-1266738,R-HSA-1257604,R-HSA-195721,R-HSA-9755511,R-HSA-2219528,R-HSA-9006925,R-HSA-8953897,R-HSA-1643685,R-HSA-9730414,R-HSA-201681,R-HSA-9856649,R-HSA-9711123,R-HSA-69278,R-HSA-162582,R-HSA-2262752,R-HSA-8878166,R-HSA-9759194,R-HSA-5663202,R-HSA-1640170,R-HSA-195253,R-HSA-9824446,R-HSA-9675108,R-HSA-5674400,R-HSA-212165	ENSG00000082701		0.3039653988058105	12.573286	4.2467685	1.0069588	3
JAK2	R-HSA-3247509,R-HSA-4839726,R-HSA-5683057,R-HSA-109582,R-HSA-5684996,R-HSA-983231,R-HSA-5673001,R-HSA-1643685,R-HSA-69278,R-HSA-162582,R-HSA-453279,R-HSA-5663202,R-HSA-1640170,R-HSA-69236,R-HSA-69231,R-HSA-449147,R-HSA-3214858,R-HSA-8854691,R-HSA-9824446,R-HSA-9006934,R-HSA-9705462	ENSG00000096968		0.4559480982087158	11.908768	4.8634396	0.3134777	3
PDGFRB	R-HSA-5683057,R-HSA-1257604,R-HSA-5684996,R-HSA-2219528,R-HSA-5673001,R-HSA-9006925,R-HSA-1643685,R-HSA-162582,R-HSA-186763,R-HSA-5663202,R-HSA-199418,R-HSA-186797,R-HSA-2219530,R-HSA-9006934,R-HSA-6811558	ENSG00000113721	1.0	0.3039653988058105	12.22639	7.598113	-0.8937176	3
MSH6	R-HSA-1643685	ENSG00000116062		0.4559480982087158	12.408655	0.8326479	-0.8357575	-1
PBRM1	R-HSA-3247509,R-HSA-4839726,R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-9933939,R-HSA-3214858,R-HSA-8939243,R-HSA-8878171	ENSG00000163939		0.4559480982087158	15.626471	3.0248258	3.4753745	3
PNMT	R-HSA-1430728,R-HSA-71291	ENSG00000141744		0.06613485282014951	15.406993	20.933956	7.012046	0
ZFHX3	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-8878159	ENSG00000140836		0.4559480982087158	17.612862	0.8914363	0.91734385	3
ARHGAP35	R-HSA-1266738,R-HSA-9013406,R-HSA-162582,R-HSA-9013404,R-HSA-8848021,R-HSA-9006927,R-HSA-9675108,R-HSA-9013423	ENSG00000160007		0.3039653988058105	13.946615	6.4854174	0.9209394	3
KIAA1549	R-HSA-1643685,R-HSA-5663202	ENSG00000122778		0.3039653988058105	6.8511605	6.4697905	1.5114768	3
MAX	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-69278,R-HSA-453279,R-HSA-1640170,R-HSA-69656,R-HSA-69202,R-HSA-8953750,R-HSA-69206	ENSG00000125952		0.4559480982087158	11.838785	2.9344072	1.9093174	3
MDM2	R-HSA-73857,R-HSA-212436,R-HSA-3700989,R-HSA-74160,R-HSA-9764265,R-HSA-9764274,R-HSA-2559585,R-HSA-421270,R-HSA-418990,R-HSA-9759476,R-HSA-1257604,R-HSA-446728,R-HSA-8878159,R-HSA-1500931,R-HSA-2219528,R-HSA-5688426,R-HSA-2559583,R-HSA-5633007,R-HSA-9006925,R-HSA-8953897,R-HSA-1643685,R-HSA-2559580,R-HSA-162582,R-HSA-5689880,R-HSA-2262752,R-HSA-69541,R-HSA-9764561,R-HSA-9766229,R-HSA-5663202,R-HSA-1640170,R-HSA-2990846,R-HSA-3108232,R-HSA-69620,R-HSA-9634815,R-HSA-69580,R-HSA-69563,R-HSA-69615,R-HSA-6804756,R-HSA-597592,R-HSA-8941858,R-HSA-6806003,R-HSA-5674400,R-HSA-6804757	ENSG00000135679		0.4559480982087158	12.718865	3.2211554	1.7026063	3
SALL4	R-HSA-1266738,R-HSA-1257604,R-HSA-452723,R-HSA-9006925,R-HSA-162582,R-HSA-6807070	ENSG00000101115		0.4559480982087158	13.665642	6.344829	0.1399807	3
GNAQ	R-HSA-109582,R-HSA-9856530,R-HSA-1430728,R-HSA-8953897,R-HSA-162582,R-HSA-9855142,R-HSA-9860931,R-HSA-416476,R-HSA-418594,R-HSA-422356,R-HSA-111885	ENSG00000156052		0.4559480982087158	12.976809	5.6103935	0.35879403	3
GRM3	R-HSA-500792,R-HSA-162582,R-HSA-418594	ENSG00000198822		0.3039653988058105	5.2337427	6.9999723	13.810524	4
SULT1A2	R-HSA-1430728	ENSG00000197165		0.2391908027432495	15.562133	20.679184	6.978417	0
ZNF331	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-212165	ENSG00000130844		0.3039653988058105	18.162386	0.52626175	1.6937722	3
FBXW7	R-HSA-1643685,R-HSA-162582,R-HSA-5663202,R-HSA-157118,R-HSA-1280218,R-HSA-9013694,R-HSA-597592,R-HSA-2122947	ENSG00000109670		0.4559480982087158	13.472295	6.3986797	-0.48403656	3
PSIP1	R-HSA-74160,R-HSA-1643685,R-HSA-9824446,R-HSA-212165	ENSG00000164985		0.3039653988058105	13.334059	2.7494383	-0.19826452	3
EGFR	R-HSA-5683057,R-HSA-73857,R-HSA-6785631,R-HSA-9006931,R-HSA-212436,R-HSA-74160,R-HSA-8847993,R-HSA-1266738,R-HSA-8939211,R-HSA-1257604,R-HSA-1963642,R-HSA-9012852,R-HSA-5684996,R-HSA-1250196,R-HSA-2219528,R-HSA-5673001,R-HSA-9006925,R-HSA-177929,R-HSA-1963640,R-HSA-1643685,R-HSA-1236394,R-HSA-162582,R-HSA-9609690,R-HSA-9609646,R-HSA-9634638,R-HSA-5663202,R-HSA-416476,R-HSA-8864260,R-HSA-157118,R-HSA-199418,R-HSA-8856825,R-HSA-180292,R-HSA-881907,R-HSA-8863795,R-HSA-2219530,R-HSA-9664565,R-HSA-1227990,R-HSA-9824446,R-HSA-8848021,R-HSA-9006927,R-HSA-9006934,R-HSA-6811558,R-HSA-9665686,R-HSA-9675108,R-HSA-1227986	ENSG00000146648		0.4559480982087158	12.050229	6.8977027	-0.37221643	3
